pollster,end_date,n,talarico,paxton,other,brown_named,talarico_2p,weight,source
Marist,2026-09-20,1139,50,44,0,FALSE,0.5319148936170213,0.03002423405674816,poll_manual_additions
Barbara Jordan Public Policy Research and Survey Center,2026-09-19,1800,47,46,3,TRUE,0.5053763440860215,0.0472604550710696,electindex
Trafalgar Group,2026-09-17,1079,46.4,45.2,2.5,TRUE,0.5065502183406114,0.028331604019808925,electindex
Emerson College/Nexstar,2026-09-14,1000,47,46,2,TRUE,0.5053763440860215,0.026255808372816446,manual_poll_ledger
SoCal Strategies,2026-09-13,649,50,45,0,FALSE,0.5263157894736842,0.0170853773768974,electindex
ReconMR,2026-09-11,614,49,43,0,FALSE,0.532608695652174,0.016188055205124768,manual_poll_ledger
Mason-Dixon,2026-09-10,625,46,43,3,TRUE,0.5168539325842697,0.016426647205636614,poll_manual_additions
InsiderAdvantage,2026-09-09,1200,47.1,45.6,2.2,TRUE,0.5080906148867314,0.03151157794764299,electindex
YouGov,2026-09-04,1000,48,43,0,FALSE,0.5274725274725275,0.0263322687095667,electindex
Fabrizio Ward/Impact Research,2026-09-01,895,48,44,0,FALSE,0.5217391304347826,0.02354073197664664,electindex
Overton Insights,2026-08-26,1167,50,50,0,FALSE,0.5,0.03063698570390474,electindex
Slingshot Strategies,2026-08-24,1000,48,42,1,TRUE,0.5333333333333333,0.026369972546282313,electindex
YouGov,2026-08-13,1200,42,39,3,TRUE,0.5185185185185185,0.03154660100306019,electindex
Emerson College,2026-08-10,1000,46.2,47.2,0,FALSE,0.49464668094218417,0.02625578242376836,electindex
Wedgewood Polls,2026-07-31,800,48,46,0,FALSE,0.5106382978723404,0.02101173000879425,electindex
YouGov Blue,2026-07-31,1001,48,45,0,FALSE,0.5161290322580645,0.026306399425801475,electindex
Barbara Jordan Public Policy Research and Survey Center,2026-07-30,1200,47,45,2,TRUE,0.5108695652173914,0.03151822239212501,electindex
ReconMR/Siena Research Institute,2026-07-30,619,47,43,0,FALSE,0.5222222222222223,0.016282629500443284,electindex
Beacon Research/Shaw & Company Research,2026-07-27,1006,51,48,0,FALSE,0.5151515151515151,0.02643456346727215,electindex
Slingshot Strategies,2026-07-17,1048,45,40,1,TRUE,0.5294117647058824,0.027608436679142378,electindex
A2 Insights,2026-06-28,618,48.4,46.1,0,FALSE,0.5121693121693122,0.01623382992067469,electindex
The New York Times/Siena University,2026-06-27,656,46.6,46.7,0,FALSE,0.49946409431939975,0.017221838654500853,electindex
SoCal Strategies,2026-06-21,800,47,48.5,0,FALSE,0.49214659685863876,0.021007400739465006,electindex
YouGov,2026-06-12,1200,42,43,3,TRUE,0.49411764705882355,0.03150768812765101,electindex
Quantus Insights,2026-06-04,800,43,45,0,FALSE,0.48863636363636365,0.021013071994140174,electindex
ReconMR/Siena Research Institute,2026-06-04,807,46,46,0,FALSE,0.5,0.02118598754331716,electindex
Slingshot Strategies,2026-05-28,1670,47,44,1,TRUE,0.5164835164835165,0.04388983093309055,electindex
Public Policy Polling,2026-05-23,643,45,38,3,TRUE,0.54216867469879515,0.017001460619350667,electindex
Barbara Jordan Public Policy Research and Survey Center,2026-05-06,1223,45,45,2,TRUE,0.5,0.03210714097332947,electindex
Slingshot Strategies,2026-04-20,1018,46,41,0,FALSE,0.5287356321839081,0.02681388740459017,electindex
YouGov,2026-04-20,1200,42,34,0,FALSE,0.5526315789473685,0.03185630565800295,electindex
Impact Research,2026-03-17,900,44,43,5,TRUE,0.5057471264367817,0.02363061742781692,electindex
Public Policy Polling,2026-03-05,576,47,45,0,FALSE,0.5108695652173914,0.015128746748220005,electindex
University of Houston Hobby School of Public Affairs,2026-01-31,1502,44,46,3,TRUE,0.4888888888888889,0.039451146595486326,electindex
Emerson College,2026-01-12,1165,45.6,45.6,0,FALSE,0.5,0.030584480158568142,electindex
Ragnar Research Partners,2025-11-17,1000,44,44,0,FALSE,0.5,0.026252772668298834,electindex
University of Houston Hobby School of Public Affairs/Texas Southern University School of Public Affairs,2025-10-01,1183,46,49,0,FALSE,0.4842105263157895,0.03108803198214758,electindex
University of Texas at Tyler Center for Opinion Research,2025-09-24,1032,37,38,0,FALSE,0.49333333333333335,0.027097678758797074,electindex
